step,return,k,config,seed
17840,26.0,1,framestack_k1,1
17928,23.0,1,framestack_k1,1
17928,21.0,1,framestack_k1,1
17936,48.0,1,framestack_k1,1
17936,28.0,1,framestack_k1,1
17984,13.0,1,framestack_k1,1
17996,14.0,1,framestack_k1,1
18000,15.0,1,framestack_k1,1
18024,23.0,1,framestack_k1,1
18072,17.0,1,framestack_k1,1
18132,33.0,1,framestack_k1,1
18132,26.0,1,framestack_k1,1
18224,59.0,1,framestack_k1,1
18228,23.0,1,framestack_k1,1
18296,55.0,1,framestack_k1,1
18352,54.0,1,framestack_k1,1
18392,40.0,1,framestack_k1,1
18396,10.0,1,framestack_k1,1
18456,39.0,1,framestack_k1,1
18472,19.0,1,framestack_k1,1
18540,20.0,1,framestack_k1,1
18540,78.0,1,framestack_k1,1
18604,15.0,1,framestack_k1,1
18608,33.0,1,framestack_k1,1
18664,30.0,1,framestack_k1,1
18716,79.0,1,framestack_k1,1
18756,37.0,1,framestack_k1,1
18756,36.0,1,framestack_k1,1
18772,26.0,1,framestack_k1,1
18820,15.0,1,framestack_k1,1
18840,30.0,1,framestack_k1,1
18844,21.0,1,framestack_k1,1
18856,20.0,1,framestack_k1,1
18888,10.0,1,framestack_k1,1
18928,17.0,1,framestack_k1,1
18948,14.0,1,framestack_k1,1
18956,28.0,1,framestack_k1,1
19004,45.0,1,framestack_k1,1
19004,18.0,1,framestack_k1,1
19096,22.0,1,framestack_k1,1
19096,36.0,1,framestack_k1,1
19188,57.0,1,framestack_k1,1
19196,24.0,1,framestack_k1,1
19252,38.0,1,framestack_k1,1
19280,20.0,1,framestack_k1,1
19280,68.0,1,framestack_k1,1
19324,17.0,1,framestack_k1,1
19356,18.0,1,framestack_k1,1
19420,57.0,1,framestack_k1,1
19564,59.0,1,framestack_k1,1
19564,35.0,1,framestack_k1,1
19588,76.0,1,framestack_k1,1
19704,86.0,1,framestack_k1,1
19708,35.0,1,framestack_k1,1
19748,45.0,1,framestack_k1,1
19800,52.0,1,framestack_k1,1
19832,30.0,1,framestack_k1,1
19884,33.0,1,framestack_k1,1
19904,17.0,1,framestack_k1,1
19960,13.0,1,framestack_k1,1
19996,27.0,1,framestack_k1,1
20032,17.0,1,framestack_k1,1
20100,74.0,1,framestack_k1,1
20120,30.0,1,framestack_k1,1
20132,106.0,1,framestack_k1,1
20136,25.0,1,framestack_k1,1
20212,18.0,1,framestack_k1,1
20268,36.0,1,framestack_k1,1
20272,34.0,1,framestack_k1,1
20316,25.0,1,framestack_k1,1
20348,61.0,1,framestack_k1,1
20404,13.0,1,framestack_k1,1
20404,32.0,1,framestack_k1,1
20416,36.0,1,framestack_k1,1
20448,32.0,1,framestack_k1,1
20524,18.0,1,framestack_k1,1
20560,35.0,1,framestack_k1,1
20584,14.0,1,framestack_k1,1
20612,51.0,1,framestack_k1,1
20620,14.0,1,framestack_k1,1
20660,11.0,1,framestack_k1,1
20676,67.0,1,framestack_k1,1
20740,38.0,1,framestack_k1,1
20784,40.0,1,framestack_k1,1
20828,21.0,1,framestack_k1,1
20852,43.0,1,framestack_k1,1
20936,68.0,1,framestack_k1,1
20996,35.0,1,framestack_k1,1
21004,16.0,1,framestack_k1,1
21052,13.0,1,framestack_k1,1
21076,61.0,1,framestack_k1,1
21132,86.0,1,framestack_k1,1
21144,16.0,1,framestack_k1,1
21160,38.0,1,framestack_k1,1
21164,27.0,1,framestack_k1,1
21204,10.0,1,framestack_k1,1
21260,28.0,1,framestack_k1,1
21356,37.0,1,framestack_k1,1
21380,61.0,1,framestack_k1,1
21396,57.0,1,framestack_k1,1
21416,14.0,1,framestack_k1,1
21476,23.0,1,framestack_k1,1
21512,28.0,1,framestack_k1,1
21556,34.0,1,framestack_k1,1
21564,75.0,1,framestack_k1,1
21600,30.0,1,framestack_k1,1
21664,24.0,1,framestack_k1,1
21668,27.0,1,framestack_k1,1
21668,16.0,1,framestack_k1,1
21684,42.0,1,framestack_k1,1
21768,20.0,1,framestack_k1,1
21816,36.0,1,framestack_k1,1
21884,28.0,1,framestack_k1,1
21896,56.0,1,framestack_k1,1
21908,60.0,1,framestack_k1,1
21964,16.0,1,framestack_k1,1
21972,21.0,1,framestack_k1,1
22024,28.0,1,framestack_k1,1
22056,59.0,1,framestack_k1,1
22080,26.0,1,framestack_k1,1
22100,10.0,1,framestack_k1,1
22120,23.0,1,framestack_k1,1
22152,46.0,1,framestack_k1,1
22280,44.0,1,framestack_k1,1
22312,57.0,1,framestack_k1,1
22320,49.0,1,framestack_k1,1
22344,15.0,1,framestack_k1,1
22356,50.0,1,framestack_k1,1
22408,23.0,1,framestack_k1,1
